gameid,playerid,rounds
78,547,2
1590,548,1
1411,549,211
16,550,4
508,551,80
813,551,67
346,552,28
1485,553,6
2669,553,773
1657,553,2
22,553,5
456,554,3
508,555,318
508,556,27
825,556,7
1485,557,252
1257,557,20
981,557,1207
2092,557,5
986,558,19
825,558,74
1568,558,30
598,558,1603
414,558,20
1158,558,233
2669,559,62
2547,559,153
620,559,22
508,559,802
2557,559,64
628,559,481
508,560,21
825,561,64
1657,562,31
2669,563,767
1026,563,1241
1588,563,100
1886,563,43
1713,563,24
2670,563,556
825,563,1828
1687,563,5000
649,564,826
1411,564,42
1485,564,133
508,565,41
2213,566,25
649,566,635
819,566,7
11,566,34
1223,566,48
2885,567,53
2090,567,44
845,567,101
2299,568,535
627,568,1
1657,569,21
1129,569,6
2558,569,19
2110,570,81
11,571,1
1257,572,80
2885,572,19
2322,573,44
2323,573,1
1311,573,39
2309,573,42
1712,573,78
414,573,162
2672,573,45
1546,573,33
198,573,17
2332,573,53
1114,573,66
600,573,122
1506,573,63
2117,573,42
1555,573,28
1713,573,19
686,573,10
1985,573,93
2269,573,14
1043,573,130
2881,573,611
883,573,29
2547,573,34
2318,573,96
1886,574,78
465,575,41
981,575,115
508,576,802
164,576,28
1886,576,107
1158,577,37
711,577,9
1712,577,16
1934,577,51
93,577,58
2970,577,54
1183,577,50
1358,577,26
822,577,387
2734,577,60
1941,577,260
835,577,17
443,577,89
1411,577,76
258,577,57
2885,577,43
814,577,132
1886,578,50
1657,579,6
986,580,10
1016,581,20
327,582,64
1889,582,61
2676,582,715
1149,583,12
656,583,3
1657,584,2
845,585,188
1713,585,383
1886,586,77
959,587,888
2202,588,52
1985,588,18
112,588,449
508,588,156
1411,588,48
1657,588,5
1657,589,1
164,589,71
1958,590,25
1657,590,18
981,591,170
773,591,1401
1480,591,83
2090,591,68
16,592,1133
1886,592,466
1001,592,11
363,592,177
191,592,135
30,592,12
515,592,2
46,592,119
2881,592,23
526,592,2
19,593,39
1657,594,2
16,595,879
508,595,1001
986,595,176
16,596,11
1198,596,44
467,596,44
926,596,26
1186,596,10
191,596,16
1590,596,113
406,596,47
1886,596,5
2090,596,13
